Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify)
He Llorado (Como Un Niño),Juan Magán,2023-08-25,5
Jeremías 17-5,Canserbero,2012,74
When You Believe - from The Prince of Egypt,Whitney Houston,1998-11-17,69
A Mí,Rels B,2019-02-21,84
Judas,Lady Gaga,2011-05-23,77
All Star,Smash Mouth,1999-06-08,81
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2019-07-25,75
La Gloria de Dios (feat. Evaluna Montaner),Ricardo Montaner,2012-10-16,61
La promesa,Melendi,2021-12-03,8
"Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,2020-01-15,65
Feel (feat. Sena Sener) - X-Kom Remix,Mahmut Orhan,2016,40
Baby Girl,Guru Randhawa,2020-10-01,60
Novinha Quer Mamar,Mc Kevin,2016-02-19,40
Don’t Let Me Down - First Rooftop Performance,The Beatles,2021-10-15,54
Club Can't Handle Me (feat. David Guetta),Flo Rida,2010-11-24,80
Killshot,Magdalena Bay,2019-10-30,60
Quem Me Dera,Márcia Fellipe,2018-10-16,54
Somebody To Love,Queen,2018-10-19,66
Badnam,Mankirt Aulakh,2017-09-21,45
Ric Flair Drip (with Metro Boomin),Offset,2017-10-30,86
Diosa,Myke Towers,2020-01-24,75
679 (feat. Remy Boyz),Fetty Wap,2015-06-29,78
DESPECHÁ,ROSALÍA,2022-07-28,80
No Guidance (feat. Drake),Chris Brown,2019-06-28,79
يدك بالراس,نور الزين,2022-05-18,37
bury a friend,Billie Eilish,2019-03-29,76
Como Yo Le Doy - Spanglish Version,Pitbull,2015-07-17,66
جيناك بهايه,ستيفن,2023-07-15,18
Self Care,Mac Miller,2018-08-03,80
คำว่าฮักกัน มันเหี่ยถิ่มไส,Monkan Kankoon,2016-09-22,43
Baby Me Atende,Matheus Fernandes,2021-02-26,59
Meri Aashiqui,Rochak Kohli,2020-06-03,56
Toulouse,Nicky Romero,2012-02-20,48
O Que Houve? - Ao Vivo,Mano Walter,2016-10-21,23
Starships,Nicki Minaj,2012-01-01,80
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,2016-05-27,63
Meu Abrigo,Melim,2018-06-08,71
Hands To Myself,Selena Gomez,2015-10-09,71
Qué Caro Estoy Pagando,Los Plebes del Rancho de Ariel Camacho,2016-03-04,69
Tere Naam,Udit Narayan,2003-06-28,58
Unfaithful,Rihanna,2006-04-10,74
Llorar (feat. Mario Domm),Jesse & Joy,2012-02-21,49
Te Fuiste de Aquí,Reik,2012-06-22,65
Lose You To Love Me,Selena Gomez,2020-01-10,82
Love Me,Justin Bieber,2009-01-01,71
The Way,Ariana Grande,2013-01-01,69
Seremos,El Bebeto,2019-02-08,71
Muleque De Vila - Ao Vivo,Projota,2016-05-27,61
Ishq Tera Guru Randhawa,Rahul Kush,2022-06-17,9
Rehab,Rihanna,2008-06-02,68
Si te pudiera mentir,Futuro Caníbal,2023-11-17,36
Stay With Me,CHANYEOL,2016-12-03,75
"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,2019-09-21,57
Hawayein,Pritam,2017-08-03,76
Truly Madly Deeply,Savage Garden,1997-03-04,72
Broccoli (feat. Lil Yachty),DRAM,2016-09-05,57
El Perdón (with Enrique Iglesias),Nicky Jam,2017-01-20,76
Clocks,Coldplay,2002-08-08,84
Se Te Nota (with Guaynaa),Lele Pons,2020-09-02,70
Saiyaara,Sohail Sen,2012-07-16,72
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,2006-09-12,75
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,2012-09-18,73
Wonderwall,Oasis,2011-05-06,64
Stronger,Kanye West,2007-09-11,84
ocean eyes,Billie Eilish,2017-12-22,85
Si Tu No Estas (In The Style Of Nicky Jam & de la Ghetto) [Tribute Version],Brava HitMakers,2015-01-23,4
Sunn Raha Hai,Shreya Ghoshal,2013-04-06,66
My Love,Route 94,2014-02-28,76
Telephone,Lady Gaga,2009-11-05,75
Calypso,Luis Fonsi,2018-06-14,57
Wake Me Up Before You Go-Go,Wham!,1984-10-23,82
Kaun Tujhe,Palak Muchhal,2016-09-17,70
good 4 u,Olivia Rodrigo,2021-05-21,86
Bad,Michael Jackson,1979,58
Cuida Bem Dela / Aquela Pessoa - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,2023-09-15,59
The Bad Touch,Bloodhound Gang,1999-10-04,73
Night Falls,Dove Cameron,2019-08-02,64
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,2018-02-16,75
Black or White,Michael Jackson,1991-11-13,71
Si Veo a Tu Mamá,Bad Bunny,2020-02-29,79
Ayer,DJ Nelson,2017-03-31,66
Udaarian,Satinder Sartaaj,2018-11-29,66
Latch,Disclosure,2020-07-17,35
Travesuras,LH,2021-12-10,40
Akh Lad Jaave,Badshah,2018-10-03,65
PPAP(Pen-Pineapple-Apple-Pen),PIKOTARO,2016-10-08,25
Desesperados,Rauw Alejandro,2021-12-11,74
Nunca Te Olvidaré,Enrique Iglesias,1998-09-22,66
Like Toy Soldiers,Eminem,2004-11-12,71
17 Años,Los Ángeles Azules,2013-08-20,5
La Respuesta,Becky G,2019-04-19,58
Big Poppa - 2007 Remaster,The Notorious B.I.G.,2007-03-05,72
Salgamos,KEVIN ROLDAN,2017-01-20,69
Deixa Acontecer / Do Jeito Que Vida Quer / Coração Radiante / Compasso do Amor / Jogo de Sedução - Ao Vivo,Grupo Humildemente,2023-08-05,11
Whoopty,CJ,2020-08-20,72
Kar Gayi Chull,Badshah,2016-03-04,66
I'm Alive,Céline Dion,2002-03-22,71
L'Amour Toujours,Gigi D'Agostino,2001-05-23,77
Leão,Xamã,2020-12-14,43
Heart Of Glass,Blondie,2006-01-01,66
Est-ce que tu m'aimes ? - Pilule bleue,GIMS,2016-08-26,51
A Puro Dolor,Son By Four,2007-05-15,54
Amante Não Tem Lar - Ao Vivo,Marília Mendonça,2017-03-06,63
Hung Up,Madonna,2005-11-11,78
Beautiful,Eminem,2009-05-15,73
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,80
Si Se Da - Remix,Myke Towers,2019-08-02,78
New Flame (feat. Usher & Rick Ross),Chris Brown,2014-09-16,76
Bank Account,21 Savage,2017-07-06,79
Solo,Amenazzy,2017-09-19,76
¿Por Que Me Enamoré?,Ulices Chaidez,2023-11-10,24
"Libérée, Délivrée - De ""La Reine des Neiges""/Bande Originale Française",Anaïs Delva,2013-01-01,58
Heart Shaker,TWICE,2017-12-11,66
So What,P!nk,2008-10-24,79
Want to Want Me,Jason Derulo,2015-05-29,80
Faded,Alan Walker,2015-12-04,73
Runnin' (Lose It All),Naughty Boy,2015-09-17,70
GATÚBELA,KAROL G,2022-08-26,76
Centuries,Fall Out Boy,2015-01-20,82
노래 (The Song),Zion.T,2017-02-01,48
"ขุนช้างฮ้างฮัก - From ""ไทบ้าน เดอะซีรีส์""",บอย พนมไพร,2017-05-19,49
اه لو لعبت يا زهر,احمد شماسنه,2023-05-01,5
Aqui Estoy Yo,Luis Fonsi,2017-02-17,37
I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,2007-11-13,63
Cuán lejos voy,Sara Paula Gómez Arias,2016-12-02,62
Vai malandra (feat. Tropkillaz & DJ Yuri Martins),Anitta,2017-12-18,66
Que Vuelvas,Carin Leon,2022-12-09,84
Superstar,Jamelia,2003-06-30,71
Chop Suey!,System Of A Down,2001-09-04,86
Saajanji Ghar Aaye,Kavita Krishnamurthy,1998-08-13,59
Habits (Stay High),Tove Lo,2014-09-24,78
Bonita,J Balvin,2017-06-02,74
Mood (feat. iann dior),24kGoldn,2021-03-26,82
History,One Direction,2015-11-13,75
Good Time,Owl City,2012-08-17,79
La Boda,Aventura,2005-04-26,73
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,2019-09-06,68
Versace on the Floor,Bruno Mars,2016-11-17,82
Ransom,Lil Tecca,2019-08-30,84
You Don't Know Me,Ofenbach,2015,52
La Estrategia,Cali Y El Dandee,2017-07-28,65
"Queen of Mean - From ""Descendants 3""/CLOUDxCITY Remix",Sarah Jeffery,2019-10-25,45
The Unforgiven,Metallica,1991-08-12,75
Buzz (feat. Badshah),Aastha Gill,2018-04-12,62
Nothing Compares 2 U,Sinéad O'Connor,1990-07-01,77
Mejor Me Alejo,Banda MS de Sergio Lizárraga,2018-08-10,47
love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,2020-02-13,61
Gallan Goodiyaan,Yashita Sharma,2015-05-02,68
Magic in the Air (feat. Ahmed Chawki),Magic System,2014-05-16,71
Teri Mitti,B Praak,2019-03-18,54
Take Care,Drake,2011-11-15,79
BILLY,6ix9ine,2018-04-10,66
EL BAÑO,Enrique Iglesias,2018-01-12,63
Não Fala Não pra Mim - Ao Vivo,Humberto & Ronaldo,2019-10-11,28
Mamichula - con Nicki Nicole,Trueno,2020-07-23,80
Sim ou não (Participação especial de Maluma),Anitta,2016-07-28,58
Chocolat (feat. Awa Imani),Lartiste,2016-12-09,61
Terre Pyaar Mein,Himesh Reshammiya,2021-08-20,47
Monster,EXO,2016-06-09,68
Duji Vaar Pyar,Sunanda Sharma,2019-01-01,61
1-800-273-8255 - Symphony Orchestra Version,Sir Robert Bryson Hall II,2023-09-08,4
Physical,Dua Lipa,2020-03-27,77
Boom Clap,Charli XCX,2015-02-09,61
Batom de Cereja - Ao Vivo,Israel & Rodolffo,2021-01-29,68
Ella Baila Sola,Eslabon Armado,2023-03-16,87
Agust D,Agust D,2016-08-16,66
GUMMO,6ix9ine,2018-04-10,62
ПЛАКАЛА,KAZKA,2018-04-27,53
Niégame Tres Veces - En Vivo,Silvestre Dangond,2015-04-22,45
"Rotten to the Core - From ""Descendants: Wicked World""",Sofia Carson,2015-01-01,46
Kiss Me More (feat. SZA),Doja Cat,2021-04-09,78
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,2019-12-26,67
Linger,The Cranberries,1993-03-01,82
TROLLZ,6ix9ine,2020-09-04,61
Boy in Luv,BTS,2014-02-12,68
Nunca Me Olvides,Yandel,2015-11-06,66
Nothin' on You (feat. Bruno Mars),B.o.B,2010-04-27,79
Quiero Repetir,Ozuna,2017-08-25,68
Go Flex,Post Malone,2016-12-09,80
God’s Menu,Stray Kids,2020-06-17,76
Na Hora de Amar - Ao Vivo,Gusttavo Lima,2018-10-26,65
Chop Suey!,System Of A Down,2001-09-04,86
C’est la vie,Khaled,2022-06-24,40
ใจ... กลางเมือง,Labanoon,2016-08-25,42
Duro y Suave,Leslie Grace,2018-01-19,62
Vete,Bad Bunny,2020-02-29,75
Tan Sólo Tú (feat. Alejandra Guzmán) - Franco De Vita en Primera Fila,Franco De Vita,2011-05-30,70
Jisoo - Flower - Keshasy Remix,Jisoo,2023-03-30,17
Midnight City,M83,2011-10-17,77
Asal Kau Bahagia,Armada,2018-02-23,71
Voy a Beber,Nicky Jam,2014-03-18,62
Jolene - Live,Miley Cyrus,2022-04-29,63
BUTTERFLY EFFECT,Travis Scott,2018-08-03,83
Monster,Skillet,2009-08-21,80
Kryptonite,3 Doors Down,2000,83
Let It Go,James Bay,2015-03-20,75
Stargazing,Kygo,2017-09-21,68
Oops!...I Did It Again,Britney Spears,2000-05-16,81
Bang,Anitta,2015-10-13,60
Ousado Amor,Isaias Saad,2022-12-13,47
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,2013-01-01,73
Why This Kolaveri Di? - The Soup of Love,Anirudh Ravichander,2011-11-16,66
I Wanna Love You,Akon,2022-03-04,65
Desert Rose,Sting,1999-01-01,66
Applause,Lady Gaga,2013-11-11,79
Ghungroo,Rohit Chauhan,2023-09-05,24
Sóng Gió,Jack,2019-10-24,43
Are You With Me,Lost Frequencies,2016-10-21,81
Just Dance,Lady Gaga,2008-01-01,82
Borro Cassette,Maluma,2015-10-30,81
I'm a Mess,Bebe Rexha,2018-06-22,74
Xúc Xắc Xúc Xẻ,Bé Bảo An,2020-08-08,11
All The Stars (with SZA),Kendrick Lamar,2018-02-09,86
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987-06-02,83
Wajah Tum Ho,Armaan Malik,2015-11-04,61
Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,2019-05-23,66
Jordan,Ryan Castro,2022-05-24,82
Min Awel Dekika,Elissa,2022-05-04,62
Girl on Fire,Alicia Keys,2012-11-18,79
Big Dick,Little Big,2015-12-19,61
Shut Up and Dance,WALK THE MOON,2014-12-02,85
Bad At Love,Halsey,2017-06-02,76
Better When I'm Dancin',Meghan Trainor,2015-10-14,76
Listen To Your Heart,Roxette,1988-10-21,76
กอดจูบลูบคลำ,L.กฮ.,2021-02-24,43
O Bebê,MC Kevinho,2018-09-11,55
Mubarak Ho Mubarak Ho,Kumar Sanu,1994-05-16,17
No Me Digas Que No,Made famous by Enrique Iglesias feat Wisin y Yandel,2010-12-30,6
Just Right,GOT7,2015-07-13,61
Summertime Sadness,Lana Del Rey,2012-01-01,87
Nothing's Gonna Stop Us Now,Starship,1987-07-27,81
Poesia Acústica #3: Capricorniana,Pineapple StormTv,2017-11-04,69
Chale,Eden Muñoz,2022-02-18,78
Además de Mí - Remix,Rusherking,2021-03-04,70
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,82
Jar of Hearts,Christina Perri,2011-05-10,75
Relación - Remix,Sech,2020-09-04,72
"Kinna Sona (From ""Marjaavaan"")",Meet Bros.,2019-11-06,63
Mo Bamba,Sheck Wes,2018-10-05,80
Steal My Girl,One Direction,2014-11-17,81
Good Life (with G-Eazy & Kehlani),G-Eazy,2017-03-17,66
La Gozadera (feat. Marc Anthony),Gente De Zona,2016-04-22,75
Man's Not Hot,Big Shaq,2017-09-22,63
Dear Mama,2Pac,1995-03-14,73
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,72
Ramuloo Ramulaa,Anurag Kulkarni,2020-01-06,57
Ambiente,J Balvin,2018-05-25,55
Antidote,Travis Scott,2015-09-04,76
ขอเวลาลืม ft.Ouiai,Aun Feeble Heart,2018-01-01,45
Faint Tracks,Yu-Peng Chen,2020-11-06,36
Tacones Rojos,Sebastian Yatra,2021-10-22,75
Tijolinho por Tijolinho,Enzo Rabelo,2020-02-14,13
"The Breakup Song (From ""Ae Dil Hai Mushkil"")",Pritam,2016-10-26,64
Right Now (Na Na Na),Akon,2008-01-01,79
"Man Mera Mandir (From ""Man Mera Mandir"")",Anuradha Paudwal,2020-05-15,14
One Less Lonely Girl,Justin Bieber,2009-01-01,71
Runaway (U & I),Galantis,2015-06-05,77
Góraleczka jak ze snu,Kordian,2023-01-28,31
Without You (feat. Usher),David Guetta,2012-12-07,73
OOOUUU,Young M.A,2017-04-27,69
Cem Mil - Ao Vivo,Gusttavo Lima,2022-11-10,17
Bewafa Tera Masoom Chehra,Rochak Kohli,2020-11-16,68
Like a Girl,Haschak Sisters,2018-06-26,43
Walk It Talk It,Migos,2018-01-26,77
Atrévete-Te-Te,Calle 13,2005,77
Estoy Enamorado,Wisin & Yandel,2021-03-12,36
Un Siglo Sin Ti,Chayanne,1998,73
Slow Down,Selena Gomez,2013-01-01,66
Bangır Bangır,Gülşen,2016-04-04,23
Me! (Originally Performed by Taylor Swift Feat. Brendon Urie of Panic! at the Disco) - Karaoke Version,Hit The Button Karaoke,2019-05-08,1
Naacho Naacho,Vishal Mishra,2022-04-16,39
Kabira,Pritam,2013-03-30,77
Gangsta,Kehlani,2016-08-05,74
I’m Still in Love with You,Sean Paul,2023-11-09,2
Warriors,Imagine Dragons,2015-05-18,76
Fantasias,Rauw Alejandro,2019-08-29,76
Alors on danse - Radio Edit,Stromae,2010-01-01,80
Losin Control,Russ,2017-05-05,77
Volta Por Baixo - Ao Vivo,Henrique & Juliano,2020-01-10,25
Caramelo,Ozuna,2020-06-11,66
"Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)",DJ Khaled,2016-08-05,61
Vingança - Ao Vivo,Luan Santana,2018-09-14,62
Pánico en la Disco,Alexio,2023-07-21,35
Best Thing I Never Had,Beyoncé,2011-06-24,71
Tous les mêmes,Stromae,2013-01-01,74
Say Something (feat. Chris Stapleton),Justin Timberlake,2018-02-02,72
Me Cambiaste La Vida - En Vivo,Israel Morales,2023-05-12,37
Sou Favela,MC Bruninho,2018-09-02,61
Without You,Mariah Carey,1993-08-31,73
Me Niegas,Baby Rasta & Gringo,2015-08-21,75
Don’t Be Shy,Tiësto,2023-05-19,35
Mercy,Badshah,2018-08-17,62
Nice For What,Drake,2018-06-29,81
Entre Nosotros (Remix) [con Nicki Nicole],Tiago PZK,2022-01-05,75
On écrit sur les murs,Kids United,2015-11-20,53
Power (feat. Stormzy),Little Mix,2016-11-18,61
Surat Cinta Untuk Starla,Virgoun,2016-02-16,74
Demet Akalın,Ben Fero,2019-02-20,57
Dura - Remix,Daddy Yankee,2018-04-27,65
The Devil in I,Slipknot,2014-10-15,74
Amor Falso,Wesley Safadão,2018-08-18,52
Я тебя люблю,Alexey Vorobyov,2017-08-11,39
Down Below,Roddy Ricch,2018-11-02,74
"Sauda Khara Khara - From ""Good Newwz""",Diljit Dosanjh,2019-12-03,17
Parado no Bailão,MC L da Vinte,2018-07-23,77
Earth,Lil Dicky,2019-04-18,60
Earth Song,Michael Jackson,1995-06-16,69
Qismat,Ammy Virk,2017-07-17,51
The Feels,TWICE,2021-10-01,66
Aquela Pessoa - Ao Vivo,Henrique & Juliano,2022-06-10,16
I Know What You Did Last Summer,Shawn Mendes,2015-04-14,75
Dona Maria - Ao Vivo,Turma do Pagode,2022-09-22,26
Si Te Vienen a Contar,Cartel De Santa,2014-08-05,74
Can’t Get You Out of My Head,Kylie Minogue,2023-12-09,0
Blanca Navidad,Matisse,2023-11-16,36
Chocolate,CantaJuego,2014-03-17,39
Khalibali,Shivam Pathak,2018-01-21,58
Candy,Plan B,2013-09-14,76
Happier,Ed Sheeran,2017-03-03,80
Corazon De Seda (feat. Ozuna),Klasico,2016-02-12,72
Me Voy,Julieta Venegas,2006-05-25,82
"Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,2018-12-13,68
Mi Verdad (feat. Shakira),Maná,2015-04-21,77
No Air (feat. Chris Brown),Jordin Sparks,2007-11-20,73
Yolla,Tarkan,2017-06-29,50
Mercy,Shawn Mendes,2017-04-20,83
Deewani Mastani,Shreya Ghoshal,2015-11-25,59
Bullettu Bandi,Mohana Bhogaraju,2021-04-07,58
Hope,The Chainsmokers,2018-12-14,66
Ahora Quien,Marc Anthony,2004,51
Paris,The Chainsmokers,2017-01-13,69
Lindo És + Só Quero Ver Você - Ao Vivo,Juliano Son,2017-04-30,64
A Culpa É Dele,Marília Mendonça,2020-05-11,27
Jaani Tera Naa,Sunanda Sharma,2017-09-13,53
That Time of Year,Josh Gad,2017-11-03,55
Bạc Phận,ICM,2019-10-24,41
Sólo Amigos,Adexe & Nau,2017-05-05,51
Volando - Remix,Mora,2021-07-08,79
MALA SANTA,Becky G,2019-10-18,63
Axel F,Crazy Frog,2005-08-01,71
Taaron Ka Chamakta,Udit Narayan,2002-01-19,48
Ex de Verdad - HA-ASH Primera Fila - Hecho Realidad [En Vivo],Ha*Ash,2014-11-11,73
The Box,Roddy Ricch,2019-12-06,86
Enjoy the Silence,Depeche Mode,1998-09-28,74
Amárrame,Mon Laferte,2017-04-28,77
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,2021-11-12,76
Dueles,Jesse & Joy,2015-12-04,83
K.O.,Pabllo Vittar,2017-08-21,47
Booty,Jennifer Lopez,2014-09-23,59
Amor Clandestino,Maná,2011-04-11,71
Te Voy A Amar,Axel,2011-01-01,33
La Playa,Myke Towers,2019-04-09,71
Ain't My Fault,Zara Larsson,2017-03-17,70
Ensay,Saad Lamjarred,2019-07-17,63
Hasta la Raíz,Natalia Lafourcade,2015-11-13,82
Beautiful Crazy,Luke Combs,2018-06-01,83
Báilame - Remix,Nacho,2018-05-11,71
HIP,MAMAMOO,2019-11-14,71
Kisi Se Mujhe Pyar Ho Gaya,Kumar Sanu,1993-08-29,21
Bellaquita,Rey Quinto,2023-11-10,24
Vuelve,Sebastian Yatra,2019-04-12,69
Jogi,Yasser Desai,2017-10-24,17
Rain On Me (with Ariana Grande),Lady Gaga,2020-05-29,75
When It Rains It Pours,Luke Combs,2017-06-02,83
Pepas,Farruko,2021-06-24,82
Centavito,Romeo Santos,2017-07-21,62
Tera Hone Laga Hoon,Atif Aslam,2009-11-06,72
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-04-17,79
Poesia Acústica #9: Melhor Forma,Pineapple StormTv,2020-07-10,71
Sexto Sentido (feat. Bad Bunny),Gigolo Y La Exce,2017-08-17,71
Oh Daddy,NATTI NATASHA,2019-02-15,53
You Don't Know Me,Ofenbach,2015,52
We Dem Boyz,Wiz Khalifa,2014-08-19,66
La de la mala suerte,Jesse & Joy,2017-02-03,46
Marshmallow World,Francesca Battistelli,2012-10-16,59
Ar Condicionado no 15 - Ao Vivo,Wesley Safadão,2017-07-21,64
Traag,Bizzey,2017-05-12,63
"Sorry, Blame It On Me",Akon,2022-03-04,69
Gal Karke,Asees Kaur,2019,54
Ni**as In Paris,JAY-Z,2011-08-08,85
Wrong Side of Heaven,Five Finger Death Punch,2013-07-26,69
A Partir De Hoy,David Bisbal,2020-01-02,69
Relación - Remix,Sech,2020-09-04,72
For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,2018-02-09,63
Hasta Que Dios Diga,Anuel AA,2020-05-29,82
Deu Onda - Ao Vivo,MC G15,2019-10-26,1
Andalouse,Kendji Girac,2020-05-15,50
Little Things,One Direction,2012-11-12,76
Era uma Vez,Kell Smith,2017-03-08,33
Celoso,Lele Pons,2018-08-17,67
Genie,YoungBoy Never Broke Again,2018-06-29,65
Adore You,Harry Styles,2019-12-13,85
महामृत्युंजय मंत्र 108 times,Sameer Vijaykumar,2022-07-19,0
El Listón de Tu Pelo - En Vivo Concierto Sinfónico Cumbia Fuzión By Fuze Tea,Los Ángeles Azules,2013,53
Victoire,Marwa Loud,2023-01-04,23
Eu Tenho Medo,Zé Vaqueiro,2022-12-13,16
Crawling,Linkin Park,2000-10-24,81
Cleanin' Out My Closet,Eminem,2002-05-26,76
YES or YES,TWICE,2018-11-05,69
El Anillo,Jennifer Lopez,2018-04-26,57
Temperature,Sean Paul,2005-09-26,83
Bad Boy,Red Velvet,2018-01-29,74
No Scrubs,TLC,1999-02-23,83
What They Want,Russ,2017-05-05,76
Naagin,Vayu,2019-10-17,62
"Tere Bin (From ""Simmba"")",Rahat Fateh Ali Khan,2018-12-14,66
Can't Help Falling in Love,Elvis Presley,1961-10-20,82
Baby,Amenazzy,2018-12-21,63
All The Things She Said,t.A.T.u.,2002,78
ผู้สาวนุ่งซิ่น,อ๋อมแอ๋ม ละมัยแสงทอง,2019-02-21,4
Turn Me On (feat. Nicki Minaj),David Guetta,2012-12-07,67
Chicken Noodle Soup (feat. Becky G),j-hope,2019-09-27,67
Monastery,Ryan Castro,2021-11-12,78
DOLLAR,Becky G,2019-07-10,58
Fíjate Que Sí,Edwin Luna y La Trakalosa de Monterrey,2019,70
I Write Sins Not Tragedies,Panic! At The Disco,2005-09-27,73
Feliz Cumpleaños Ferxxo,Feid,2022-08-19,74
Apaixonadinha - Ao Vivo,Marília Mendonça,2019-05-17,66
God is a woman,Ariana Grande,2018-08-17,79
Where You Are,Christopher Jackson,2016-11-18,61
SLOW DANCING IN THE DARK,Joji,2018-10-26,84
Burning Up (Fire),BTS,2016-05-02,70
"Jeeta Tha Jiske Liye (From ""Dilwale"")",Kumar Sanu,2016-04-25,7
Só Quer Vrau - Remix,Chris Leão,2019-11-28,7
Man! I Feel Like A Woman!,Shania Twain,1997-11-04,74
QUE PRETENDES,J Balvin,2019-06-28,80
Oo Antava Oo Oo Antava,Indravathi Chauhan,2021-12-10,64
Fuck Love,XXXTENTACION,2017-08-25,85
Graveto - Ao Vivo,Marília Mendonça,2020-01-10,72
"Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")",Kanika Kapoor,2021-12-11,54
Ser Al Hayat,Aseel Hameem,2019-06-04,44
Duality,Slipknot,2004,82
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970-12-07,88
Algo Mais (Amante) - Ao Vivo,Xand Avião,2019-05-03,62
Nashe Si Chadh Gayi,Vishal-Shekhar,2016-12-01,75
Tumbalatum,MC Kevinho,2016-09-26,63
Egoísta,Ozuna,2017-08-25,60
Reggaetón Lento (Remix),CNCO,2016-11-18,55
A Maior Saudade / Como É Que A Gente Fica - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,2023-12-01,52
Laembadgini,Diljit Dosanjh,2018-07-10,45
The Man Who Can't Be Moved,The Script,2008-07-14,77
Broken Angel (feat. Helena),Arash,2010-11-22,63
"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,2019-10-03,72
Roundtable Rival,Lindsey Stirling,2014-04-28,57
I Miss You,blink-182,2003-11-01,74
Touch,Little Mix,2016-11-18,67
Frases Tão Duidas / Diz Pra Mim (Just Give Me a Reason) / Abre o Portão Que Eu Cheguei - Ao Vivo,Gusttavo Lima,2023-06-15,52
Yo Te Esperaba - Primera Fila [En Vivo],Alejandra Guzman,2013-11-26,60
Paradinha,Anitta,2017-05-31,56
deja vu,Olivia Rodrigo,2021-05-21,88
Paagal,Badshah,2019-07-10,59
El Centenario (En Vivo),Lenin Ramírez,2017-09-29,38
Yaar Beli,Guri,2020-02-24,61
Uncover,Zara Larsson,2012,67
DDU-DU DDU-DU - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,BLACKPINK,2020-05-14,43
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,2020-11-27,70
Dejaría Todo,Chayanne,1998-09-29,74
I Don't Fuck With You,Big Sean,2015-02-24,77
Dari Ya Alby,Hamza Namira,2018-02-08,57
"Mi Mala (feat. Becky G, Leslie Grace & Lali) - Remix",Mau y Ricky,2019-05-03,60
El Condor Pasa,Leo Rojas,2012-01-30,57
Look Alive (feat. Drake),BlocBoy JB,2018-02-09,60
Tum Hi Ho,Arijit Singh,2013-04-06,76
Mi Niña Mujer,Los Ángeles Azules,2016,68
Work Bitch,Britney Spears,2013-11-30,71
Hey DJ,CNCO,2018-04-06,68
Who Says,Selena Gomez & The Scene,2011-01-01,78
Arlequina (Made Popular By MC Bella) [Karaoke Version],Party Tyme Karaoke,2023-04-11,0
TT,TWICE,2016-10-24,69
Kiss Kiss (feat. T-Pain),Chris Brown,2007-09-10,41
Fantasias - Unplugged,Rauw Alejandro,2019-11-05,58
Troféu do Ano,Jerry Smith,2017,58
Tera Ban Jaunga - Deep House Mix,Akhil Sachdeva,2023-04-14,4
When I See U,Fantasia,2006-12-09,74
Chica Paranormal,Paulo Londra,2019-05-23,72
New Thang,Redfoo,2015-07-13,59
Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,2019-06-20,72
I Got You,Bebe Rexha,2018-06-22,63
Pani Di Gal - Remix,Maninder Buttar,2021-08-30,19
Speechless (Full),Naomi Scott,2019-05-22,71
No Mediocre (feat. Iggy Azalea),T.I.,2014-06-16,54
Briga Feia / Mais Amor E Menos Drama - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,2023-09-15,65
สิมาฮักหยังตอนนี้,Tai Orathai,2020-01-15,46
Dushman Na Kare Dost Ne Wo Kaam Kiya Hai,Lata Mangeshkar,1985-06-07,44
We Paid (feat. 42 Dugg),Lil Baby,2020-05-01,76
