Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
Fantasias - Unplugged,Rauw Alejandro,2019-11-05,58,"['brega funk', 'funk carioca']"
Troféu do Ano,Jerry Smith,2017,58,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino']"
Tera Ban Jaunga - Deep House Mix,Akhil Sachdeva,2023-04-14,4,[]
When I See U,Fantasia,2006-12-09,74,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']"
Chica Paranormal,Paulo Londra,2019-05-23,72,"['memphis hip hop', 'rap']"
New Thang,Redfoo,2015-07-13,59,"['desi hip hop', 'desi pop', 'punjabi pop']"
Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,2019-06-20,72,"['dance pop', 'pop']"
I Got You,Bebe Rexha,2018-06-22,63,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']"
Pani Di Gal - Remix,Maninder Buttar,2021-08-30,19,"['movie tunes', 'post-teen pop', 'vapor pop']"
Speechless (Full),Naomi Scott,2019-05-22,71,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
No Mediocre (feat. Iggy Azalea),T.I.,2014-06-16,54,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Briga Feia / Mais Amor E Menos Drama - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,2023-09-15,65,"['luk thung', 'thai folk pop']"
สิมาฮักหยังตอนนี้,Tai Orathai,2020-01-15,46,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
Dushman Na Kare Dost Ne Wo Kaam Kiya Hai,Lata Mangeshkar,1985-06-07,44,"['classic bollywood', 'filmi', 'lata']"
We Paid (feat. 42 Dugg),Lil Baby,2020-05-01,76,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,78,"['pop', 'viral pop']"
Zaalima,Arijit Singh,2023-05-26,18,"['filmi', 'modern bollywood']"
Turn Up The Speakers,AFROJACK,2014-09-08,44,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']"
Pesadão,IZA,2018-04-27,62,"['j-pop', 'japanese teen pop']"
Esclava de una Obesión,Alfredo Escudero,2021-02-01,23,"['afrofuturismo brasileiro', 'pop nacional', 'r&b brasileiro']"
LA CANCIÓN,J Balvin,2019-06-28,86,['spanish pop']
アイドル,YOASOBI,2023-04-12,82,"['panamanian pop', 'tipico']"
Guiding Light,Paul van Dyk,2020-07-27,24,"['banda', 'banda sinaloense', 'musica mexicana', 'norteno']"
Tiroteo - Remix,Marc Seguí,2021-04-01,82,"['german techno', 'trance', 'uplifting trance']"
Vas A Llorar Por Mí,Banda El Recodo,2021-01-29,37,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
H.O.L.Y.,Florida Georgia Line,2016-08-26,69,"['emo rap', 'miami hip hop', 'rap']"
the remedy for a broken heart (why am I so in love),XXXTENTACION,2018-03-16,78,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Hate That I Love You,Rihanna,2008-06-02,74,"['mexican pop', 'tejano']"
Amor Prohibido,Selena,1994,74,"['barbadian pop', 'pop', 'urban contemporary']"
Runaway,Sebastian Yatra,2019-06-21,60,"['rap espanol', 'spanish hip hop', 'urbano espanol']"
Loca,Lopes,2019-01-18,38,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Canudinho - Ao Vivo,Gusttavo Lima,2023-08-30,87,"['k-pop', 'k-pop girl group']"
Don't Stop 'Til You Get Enough,Michael Jackson,1979-08-10,77,"['r&b', 'soul']"
Psycho,Red Velvet,2019-12-23,77,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
Mind (feat. Kai) - Ekali & Gravez Remix,Skrillex,2016-07-28,36,"['desi pop', 'modern bollywood']"
Tareefan,QARAN,2018-05-31,23,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
Obsesionado,Farruko,2015-10-23,64,"['reggaeton', 'trap latino', 'urbano latino']"
Jealous,Labrinth,2014-11-23,77,"['indie poptimism', 'pop']"
La Temperatura (feat. Eli Palacios),Maluma,2015-03-06,66,[]
Yaari Yaari,Ram Sampath,2014-04-01,31,"['filmi', 'modern bollywood']"
Pa Ti Solamente,Machine,2022-03-30,41,[]
Ya Maulana,Sabyan,2023-11-11,35,[]
Down on me,Made famous by Jeremih ft.50 cent,2011-03-28,7,['musica infantil']
Quem Ama os Animais: Yasminzinha,Yasmin Verissimo,2023-02-02,23,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
BURN IT DOWN,Linkin Park,2012-06-20,77,"['trap argentino', 'trap latino', 'urbano latino']"
Entre Nosotros,Tiago PZK,2021-07-08,71,"['filmi', 'indian folk', 'modern bollywood']"
Sun Saathiya,Divya Kumar,2018-08-24,19,"['luk thung', 'thai folk rock']"
รำคาญกะบอกกันเด้อ,ลำเพลิน วงศกร,2018-08-07,47,['mexican hip hop']
Así Soy,Santa Fe Klan,2020-05-12,72,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
What the Hell,Avril Lavigne,2011-03-08,75,"['australian hip hop', 'dance pop', 'pop']"
Work,Iggy Azalea,2014-01-01,55,"['canadian pop', 'candy pop', 'dance pop', 'pop']"
KOODA,6ix9ine,2018-04-10,59,['emo rap']
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2016-04-18,69,"['dance pop', 'latin pop', 'mexican pop']"
Maps,Maroon 5,2015-05-18,75,['australian hip hop']
Astronaut In The Ocean,Masked Wolf,2021-01-06,76,"['banda', 'corridos tumbados', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']"
Castle on the Hill,Ed Sheeran,2017-03-03,81,['pop']
Mariposa Traicionera,Maná,2002-08-19,68,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']"
Te Regalo,Ulices Chaidez,2023-11-10,24,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']"
Heaven,Bryan Adams,1984-11-05,81,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Sweet Nothing (feat. Florence Welch),Calvin Harris,2012-10-29,76,"['pop', 'singer-songwriter pop', 'uk pop']"
A Thousand Miles,Vanessa Carlton,2002-04-30,79,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']"
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,2010-03-30,82,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']"
Blue Jeans,Lana Del Rey,2012-01-01,71,[]
Luna - En Vivo,Zoé,2011-01-01,74,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
Ya Habibana Ali,Sabyan,2022-11-11,53,"['art pop', 'pop']"
Strip That Down,Liam Payne,2017-05-18,68,['pop']
Loca (feat. Cali y El Dandee),Maite Perroni,2017-05-12,59,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap algerien']"
Destino,Greeicy,2019-05-17,71,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
Feel,Robbie Williams,2002,78,"['colombian pop', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
Liberté,Soolking,2019-03-14,55,"['dance rock', 'europop']"
Dollhouse,Melanie Martinez,2015-08-14,77,"['alt z', 'electropop', 'pop']"
Seu Polícia - Ao Vivo,Zé Neto & Cristiano,2023-02-14,18,"['latin pop', 'latin viral pop', 'mexican pop']"
Hey Jude,The Beatles,2006-11-17,67,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
Womanizer - Remastered,Britney Spears,2014-07-29,37,"['ohio hip hop', 'pop rap']"
Kings & Queens,Ava Max,2020-09-18,82,"['dance pop', 'pop']"
RAP DEVIL,Machine Gun Kelly,2018-09-08,61,['pop']
I Like Me Better,Lauv,2018-05-31,84,['pop']
Teri Pyari Pyari Do Ankhiya - Dj Remix,Munna Chakia,2023-09-13,18,[]
No me dejes así (feat. Cali y El Dandee),Felipe Santos,2016-07-15,9,"['cantautora mexicana', 'mexican pop']"
Disfruto,Carla Morrison,2012-03-27,76,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,2019-12-26,67,['latin arena pop']
Main Rahoon Ya Na Rahoon,Amaal Mallik,2015-11-24,74,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
You Know I'm No Good,Amy Winehouse,2006-10-27,66,['bhojpuri pop']
Mala Mía,Maluma,2018-08-10,67,"['emo rap', 'miami hip hop', 'rap']"
Eke Odhaniya,Pawan Singh,2023-11-02,47,"['a cappella', 'viral pop']"
Zumba,Don Omar,2023-07-21,17,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,2018-10-25,71,"['boy band', 'pop']"
Daft Punk,Pentatonix,2013-11-05,58,"['reggaeton', 'trap latino', 'urbano latino']"
Safaera,Bad Bunny,2020-02-29,78,"['reggaeton', 'trap latino', 'urbano latino']"
Sucker,Jonas Brothers,2019-06-07,81,['bangla pop']
Ojitos Lindos,Bad Bunny,2022-05-06,87,"['desi hip hop', 'punjabi pop']"
Wakhra Swag,Navv Inder,2022-10-12,31,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2020-07-24,73,['filmi']
Oporadhi 06,Arman Alif,2022-12-21,13,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']"
Chikni Chameli,Ajay-Atul,2011-12-16,68,[]
Say My Name,Destiny's Child,1999-07-27,80,[]
L-Gante Rkt,Dj Roderick,2021-05-17,28,['tollywood']
Forever - Single Version,The Little Dippers,1968-06-08,65,"['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Tanto la Queria,Andy & Lucas,2004-04-15,22,"['latin pop', 'pop flamenco', 'rumba', 'spanish pop']"
Saranga Dariya,Mangli,2021-02-28,62,"['glam metal', 'rock']"
50 Reais,Naiara Azevedo,2019-12-06,18,['romanian pop']
You Give Love A Bad Name,Bon Jovi,1986-08-16,84,"['french hip hop', 'pop urbaine', 'r&b francais']"
Mr. Saxobeat - Radio Edit,Alexandra Stan,2011-11-16,73,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Réseaux,Niska,2017-09-22,66,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol']"
Toosie Slide,Drake,2020-04-03,74,"['australian dance', 'australian pop', 'pop']"
"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix",Sia,2019-04-12,56,"['filmi', 'modern bollywood']"
No Te Apartes de Mí,Vicentico,2012-09-25,74,['musica infantil']
"Piuí, Piuí, Piuí",Patati Patatá,2020,17,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Can’t Stop,Red Hot Chili Peppers,2023-10-17,8,['pop soul']
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2018-11-30,75,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,2015-11-27,58,"['adoracao', 'brazilian gospel', 'groove gospel', 'pagode baiano', 'pop nacional', 'rap cristao', 'reggae cristao', 'rock gospel brasileiro']"
Comigo Estás - Ao Vivo,Preto no Branco,2023-03-24,28,"['desi pop', 'filmi', 'modern bollywood']"
How Do You Sleep?,Sam Smith,2019-07-19,72,"['disco', 'funk', 'jazz funk', 'soul']"
"Humsafar (From ""Badrinath Ki Dulhania"")",Akhil Sachdeva,2018-03-12,12,"['pop', 'uk pop']"
Boogie Wonderland,"Earth, Wind & Fire",1979-06,78,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'rock']"
Send Me An Angel,Scorpions,1990-01-01,72,"['musica mexicana', 'norteno', 'sierreno']"
Aston Martin Music,Rick Ross,2010-01-01,72,['pop']
Pideme - En Vivo,Grupo Firme,2018-06-28,69,"['dance pop', 'pop', 'uk pop']"
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2021-10-28,80,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Anywhere,Rita Ora,2018-11-23,49,"['modern rock', 'pop', 'rock']"
Naturally,Selena Gomez & The Scene,2009-01-01,67,['filmi']
Kun Faya Kun,A.R. Rahman,2011-10-01,70,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']"
Soñé - En Vivo,Zoé,2011-01-01,74,"['classic bollywood', 'filmi', 'modern bollywood']"
Tamma Tamma Again,Bappi Lahiri,2017-02-14,64,"['k-pop', 'k-pop girl group', 'pop']"
Dance The Night Away,TWICE,2018-07-09,69,"['pop', 'singer-songwriter pop', 'uk pop']"
Beautiful People (feat. Khalid),Ed Sheeran,2019-06-28,73,"['pop', 'singer-songwriter pop', 'uk pop']"
The A Team,Ed Sheeran,2011-09-09,76,"['filmi', 'modern bollywood']"
Ding Dang,Amit Mishra,2017-06-22,44,"['pop rap', 'portland hip hop', 'rap', 'underground hip hop']"
Yandel 150,Yandel,2022-12-20,79,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']"
Caroline,Aminé,2017-07-28,74,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Amor Del Bueno,Calibre 50,2016-07-08,46,['electro house']
Bhojpuriya Dabangg,MANOJ TIWARI,2023-02-20,31,['bhojpuri pop']
Faded,Alan Walker,2015-12-04,73,"['british soul', 'neo soul']"
Big Girls Don't Cry (Personal),Fergie,2006-09-13,73,"['dance pop', 'pop']"
"You Get Me - From ""Talking Friends""",Tom and Angela,2012-01-01,37,[]
Ankush Raja Devi Geet 2023,Ankush Raja,2023-10-09,7,"['art pop', 'pop']"
everything i wanted,Billie Eilish,2019-11-13,86,['modern bollywood']
Deita Na Br,Aviões do Forró,2011-04-10,32,"['axe', 'forro', 'sertanejo', 'sertanejo universitario']"
In the Name of Love,Martin Garrix,2016-07-29,82,['bhojpuri pop']
Teri Mitti - Female Version,Parineeti Chopra,2019-03-18,36,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
There for You,Martin Garrix,2017-05-26,69,[]
Have You Ever Seen The Rain,Rod Stewart,2006-10-09,65,['dogri pop']
Dilbaro,Sonali Dogra,2022-01-01,18,"['mellow gold', 'soft rock']"
श्री हनुमान चालीसा Hanuman Chalisa,Hari cassettes,2000-02-14,13,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
Hero - Live at the Tokyo Dome,Mariah Carey,2020-10-02,32,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']"
Five More Hours,Deorro,2017-03-31,74,"['hard bass', 'russian rave']"
Hypnodancer,Little Big,2020-05-07,54,"['dance pop', 'pop', 'urban contemporary']"
Tourner Dans Le Vide,Indila,2014-01-01,76,['french pop']
Hawa Hawa,Hassan Jahangir,1989-02-02,23,[]
GOOD BOY,GD X TAEYANG,2014-11-21,61,"['k-pop', 'k-pop boy group']"
"BamBholle - From ""Laxmii""",ViruSs,2020-11-03,2,[]
Medallo,Blessd,2021-10-27,76,"['reggaeton', 'urbano latino']"
Boss Bitch,Doja Cat,2020-01-23,80,"['k-rap', 'korean old school hip hop']"
Hangover,PSY,2014-06-09,46,"['dance pop', 'pop']"
Fly,Marshmello,2018-03-09,60,"['brostep', 'edm', 'pop', 'progressive electro house']"
De Vuelta Pa' La Vuelta,Daddy Yankee,2020-12-10,71,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
One Last Time,Ariana Grande,2014-08-25,85,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']"
Filha - Ao Vivo,Zé Neto & Cristiano,2023-06-22,53,['pop']
I Hate Everything About You,Three Days Grace,2003-07-22,73,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",Chris Brown,2017-10-31,64,"['thai pop', 'thai rock']"
ไกลแค่ไหน คือ ใกล้,Getsunova,2014-01-13,27,"['r&b', 'rap']"
Cristina,Sebastian Yatra,2019-04-12,73,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Não Pare,Midian Lima,2019-06-04,70,['brazilian gospel']
Jenifer,Gabriel Diniz,2018-09-21,48,"['latin pop', 'modern salsa', 'salsa', 'tropical']"
Valio la Pena,Marc Anthony,2004,39,"['forro', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Te Siento,Wisin & Yandel,2020-03-20,36,['reggae fusion']
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,2015-10-16,80,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']"
Odio (feat. Drake),Romeo Santos,2014-02-25,76,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
Impossible,James Arthur,2013-11-04,81,"['pop', 'talent show', 'uk pop']"
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,2012-12-07,75,"['pop', 'r&b']"
Pretty Hurts,Beyoncé,2014-11-24,67,"['reggaeton', 'trap latino', 'urbano latino']"
Solo de Mi,Bad Bunny,2018-12-23,72,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
แพ้ทาง,Labanoon,2016-08-25,49,"['thai folk rock', 'thai rock']"
Kajra Re,Shankar-Ehsaan-Loy,2005-04-15,64,"['filmi', 'modern bollywood']"
Bebé,Ozuna,2017-08-25,75,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
ทิ้งแต่เก็บ (เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ),THE TOYS,2019-11-26,52,"['colombian pop', 'electro latino', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Rojo,J Balvin,2020-02-27,65,['thai pop']
Nada,Cali Y El Dandee,2020-08-14,62,"['arab pop', 'moroccan pop', 'rif', 'shaabi']"
Brother Louie,Modern Talking,1986,76,"['europop', 'synthpop']"
رحالة العصر الحديث,Saad Lamjarred,2016-08-25,49,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Sorry,Justin Bieber,2015-11-13,85,"['dance pop', 'k-pop', 'k-pop girl group']"
Pega a Metralhadora (feat. Luanzinho do Recife & Vingadora),Barca Na Batida,2022-03-24,7,['funk viral']
I Am The Best,2NE1,2014-12-09,70,['funk carioca']
A Cara do Crime (Nós Incomoda),Mc Poze do Rodo,2021-05-27,69,[]
Ben Yoruldum Hayat,Mümin Sarıkaya,2016-11-25,54,"['canadian pop', 'pop']"
Easy On Me,Adele,2021-10-14,84,"['british soul', 'pop', 'pop soul', 'uk pop']"
Oh Nanana - Remix,dj 6rb,2018-09-17,49,"['turkish hip hop', 'turkish pop']"
Before You Go,Lewis Capaldi,2019-11-22,86,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
On the Low,Burna Boy,2019-07-25,73,[]
Ela,Reynmen,2019-07-13,61,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
Downtown,Anitta,2017-11-19,75,"['pop', 'uk pop']"
Mulher Maravilha - Ao Vivo,Zé Neto & Cristiano,2023-02-14,18,[]
Сумасшедшая,Comedy Club Cover,2019-10-18,42,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
Jugnu,Badshah,2021-10-26,74,"['pop r&b', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Middle,DJ Snake,2016-08-05,77,[]
Em Gì Ơi,ICM,2019-10-25,34,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
No Love,August Alsina,2014-08-05,64,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
Khoya Hain,Neeti Mohan,2018-09-12,11,"['filmi', 'modern bollywood']"
Feel It Still,Portugal. The Man,2017-06-16,82,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']"
Elegí,Rauw Alejandro,2020-03-26,73,"['dance pop', 'pop']"
Together,Marshmello,2018-06-22,48,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
My Nigga,YG,2014-03-18,71,"['brostep', 'edm', 'pop', 'progressive electro house']"
Bitch I'm Madonna,Madonna,2015-03-10,61,[]
Gurti (Sukham Dhillon),DHILLON SAAB,2021-05-05,6,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Love Never Felt So Good,Michael Jackson,2014-05-09,73,"['haryanvi hip hop', 'haryanvi pop']"
Pickup,Khasa Aala Chahar,2023-11-17,36,"['r&b', 'soul']"
Changes,2Pac,1998-01-01,77,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Tapão Na Raba,Raí Saia Rodada,2021-01-22,64,[]
"Aao Raja (made popular by Yo Yo Honey Singh, Neha Kakkar) [backing version]",Party Tyme,2023-09-15,26,[]
Un Ratito Más - SECRET VERSION,SOLO VERSIONS,2023-10-27,21,"['arrocha', 'forro']"
Woman Like Me (feat. Nicki Minaj),Little Mix,2018-11-16,68,"['girl group', 'pop', 'talent show', 'uk pop']"
All The Small Things,blink-182,1999-06-01,84,"['detroit hip hop', 'hip hop', 'rap']"
Space Bound,Eminem,2010-06-18,72,"['speedrun', 'video game music']"
Cuaderno,Pachu,2019-09-29,13,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
RISE,League of Legends,2018-09-28,77,[]
Proper Patola,Badshah,2018-10-03,73,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
Watermelon Sugar,Harry Styles,2019-12-13,88,['pop']
No Diggity,Blackstreet,1996-09-09,80,"['folk-pop', 'metropopolis', 'modern rock', 'stomp and holler']"
Little Talks,Of Monsters and Men,2012-01-01,82,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b']"
La Boca,Mau y Ricky,2019-05-03,69,"['latin pop', 'pop venezolano', 'reggaeton', 'urbano latino']"
Cuando Vuelvas,Felipe Peláez,2009-10-20,37,['karaoke']
Mamiii (Made Popular By Becky G & KAROL G) [Karaoke Version],Party Tyme Karaoke,2022-11-25,2,"['colombian pop', 'vallenato', 'vallenato moderno']"
Medusa,Jhayco,2020-02-05,68,"['reggaeton', 'trap latino', 'urbano latino']"
Tere Ishq Mein,Ayesha Omar,2022-09-23,13,['pakistani pop']
Malemolência,Dynho Alves,2018-10-31,57,"['brega funk', 'funk carioca']"
Vachinde,"Madhu Priya, Ramky",2017-06-30,57,[]
Mill Lo Na,Guri,2019-02-22,51,"['desi hip hop', 'doujin', 'punjabi pop']"
Broken,Seether,2004-01-01,72,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
Ayo,Chris Brown,2015-02-24,74,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']"
Middle,DJ Snake,2016-08-05,77,"['desi pop', 'filmi', 'modern bollywood']"
All Black,Raftaar,2015-10-10,63,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
Nayan,Dhvani Bhanushali,2020-12-08,62,"['r&b', 'rap']"
Misery,Maroon 5,2010,40,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,2015-04-07,72,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']"
Clarity (feat. Foxes) - Tiësto Remix,Zedd,2013-06-11,46,"['classic pakistani pop', 'filmi', 'indian fusion', 'pakistani folk', 'qawwali', 'sufi', 'world']"
Mere Rashke Qamar,Nusrat Fateh Ali Khan,2017-08-19,69,"['8-bit', 'chiptune']"
Lonely Day,8-Bit Misfits,2018-06-29,6,['pop']
Confident,Demi Lovato,2015-01-01,74,"['indonesian pop', 'malaysian pop']"
Bukti,Virgoun,2017-04-21,72,"['pop', 'post-teen pop']"
I Like It,Enrique Iglesias,2010,67,['thai folk pop']
Bleeding Love,Leona Lewis,2007,78,"['dance pop', 'latin pop', 'mexican pop']"
ฉันยังรักเธอ ft. ยุ่งยิ่ง กนกนันท์,เต้ย อภิวัฒน์,2018-02-18,43,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']"
Level Up,Ciara,2019-05-10,68,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
Magenta Riddim,DJ Snake,2019-07-25,64,"['british soul', 'dance pop', 'pop', 'talent show']"
Down,Jay Sean,2009-01-01,80,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
คนมีเสน่ห์,Pang Nakarin,2016-06-22,46,"['thai folk rock', 'thai indie', 'thai rock']"
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2018-10-05,86,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Nazm Nazm (made popular by Bareilly Ki Barfi) [backing version],Party Tyme,2023-09-15,20,[]
In My Blood,Shawn Mendes,2018-05-25,76,"['canadian pop', 'pop', 'viral pop']"
Alas,Elenco de Soy Luna,2016-02-26,51,['latin viral pop']
STAY,BLACKPINK,2016-11-01,73,"['k-pop', 'k-pop girl group', 'pop']"
Energy,Drake,2015-02-12,74,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
Mírame - Remix,Nio Garcia,2019-07-19,72,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']"
Kamaal,Badshah,2019-12-09,57,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,2017-03-10,69,"['reggaeton', 'trap latino', 'urbano latino']"
Otro Trago,Sech,2019-04-19,73,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']"
Dil Ne Yeh Kaha Hain Dil Se,Udit Narayan,2000-07-02,64,"['agronejo', 'arrocha', 'pop nacional', 'sertanejo', 'sertanejo universitario']"
"Ni Contigo, Ni Sin Ti",Los Ángeles Azules,2018-06-08,66,"['chutney', 'filmi', 'odia pop']"
No Brainer,DJ Khaled,2018-07-27,65,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
Bad Liar,Selena Gomez,2017-05-18,68,[]
Dum Dum x Bloody Mary - Remix,Gatito Malo,2023-03-15,57,['thai folk rock']
อยากนอนกับเธอ,เด็กเลี้ยงควาย,2018-07-13,42,"['pop', 'post-teen pop']"
"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,2022-01-27,59,['movie tunes']
Maranata / Lágrimas de Fogo,VITOHRIA SOUNDS,2020-09-08,35,['adoracao']
Balam Pichkari,Pritam,2013-03-30,68,"['filmi', 'indian instrumental', 'modern bollywood']"
Termina Comigo Antes - Ao Vivo,Gusttavo Lima,2023-06-15,49,"['disco', 'mellow gold', 'soft rock']"
changes,XXXTENTACION,2018-03-16,80,"['emo rap', 'miami hip hop', 'rap']"
Stayin Alive,Bee Gees,2020-12-11,75,"['blues rock', 'classic rock', 'mexican classic rock']"
Smooth (feat. Rob Thomas),Santana,1999-06-15,72,['electro house']
"Alone, Pt. II",Alan Walker,2019-12-27,74,"['latin hip hop', 'mexican hip hop']"
Los Mensajes del Whatsapp,Cartel De Santa,2014-08-05,71,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
